model,epoch,phase,train_loss,val_loss,train_acc,val_acc
EfficientNet-B4,1,1,2.5009562053014096,2.1851062400831163,0.21746724890829694,0.2961672473867596
EfficientNet-B4,2,1,1.4510854551365282,1.6515560316291835,0.6,0.49477351916376305
EfficientNet-B4,3,1,0.9020408403404936,1.3918445276466396,0.8262008733624454,0.5993031358885017
EfficientNet-B4,4,2,0.6354825342065903,1.20632846845567,0.885589519650655,0.6585365853658537
EfficientNet-B4,5,2,0.3344396506855061,1.091078380882117,0.959825327510917,0.686411149825784
EfficientNet-B4,6,2,0.1799239786040835,1.030471858870277,0.9903930131004367,0.6898954703832753
EfficientNet-B4,7,2,0.1166052327080585,0.9931455688609478,0.9991266375545852,0.6968641114982579
EfficientNet-B4,8,2,0.08655077505970626,0.9812563622454733,0.9991266375545852,0.6933797909407665
EfficientNet-B4,9,2,0.07557219258432304,0.9829817368593781,1.0,0.6968641114982579
EfficientNet-B4,10,2,0.06779717744437888,0.9781474045344761,0.9991266375545852,0.6898954703832753
EfficientNet-B0,1,1,2.038459277465354,2.3330969258052545,0.4314410480349345,0.46689895470383275
EfficientNet-B0,2,1,0.27399510332590626,1.5985494864526941,0.9310043668122271,0.6062717770034843
EfficientNet-B0,3,1,0.08267387650158728,1.4422407015275456,0.9834061135371179,0.6027874564459931
EfficientNet-B0,4,2,0.08034947920574372,1.2936450550365115,0.9816593886462882,0.6829268292682927
EfficientNet-B0,5,2,0.0364880619611282,1.3533465198731174,0.9895196506550218,0.6794425087108014
EfficientNet-B0,6,2,0.010508844108568853,1.1088157949339636,1.0,0.7421602787456446
EfficientNet-B0,7,2,0.0070296224011474305,1.102154212338584,0.9982532751091703,0.735191637630662
EfficientNet-B0,8,2,0.003971156065950097,1.1043838893910318,1.0,0.7386759581881533
EfficientNet-B0,9,2,0.0026930994299285147,1.126911491467147,1.0,0.7421602787456446
EfficientNet-B0,10,2,0.002607639394619189,1.124412190415718,1.0,0.7456445993031359
ViT-B/16,1,1,1.7047170769179232,0.8517697441037939,0.4873362445414847,0.7142857142857143
ViT-B/16,2,1,0.31692695006012395,0.6086662963084642,0.9074235807860263,0.8257839721254355
ViT-B/16,3,1,0.1252793204592435,0.6655593292223037,0.959825327510917,0.8048780487804879
ViT-B/16,4,2,0.017068868740685448,0.7344883836104895,0.9965065502183406,0.818815331010453
ViT-B/16,5,2,0.003868073977603207,0.6885329086190732,1.0,0.818815331010453
ViT-B/16,6,2,0.0011611006653249492,0.7080616458783167,1.0,0.8257839721254355
ViT-B/16,7,2,0.0004771833341847292,0.7084066482578836,1.0,0.8292682926829268
ViT-B/16,8,2,0.0003720431353980228,0.7068961070597379,1.0,0.8327526132404182
ViT-B/16,9,2,0.00033844412616088044,0.7060358653085157,1.0,0.8327526132404182
ViT-B/16,10,2,0.00032754662725261076,0.7057858152568133,1.0,0.8327526132404182
